breed,breed_info_link,breed_img_link
Cardigan Welsh Corgi,https://dogtime.com/dog-breeds/cardigan-welsh-corgi,https://www.dogtime.com/assets/uploads/2011/11/file_23294_cardigan-welsh-corgi-300x189.jpg
Carolina Dog,https://dogtime.com/dog-breeds/carolina-dog,https://www.dogtime.com/assets/uploads/2020/04/carolina-dog-breed-pictures-cover-650x368.jpg
Catahoula Bulldog,https://dogtime.com/dog-breeds/catahoula-bulldog,https://www.dogtime.com/assets/uploads/2019/08/catahoula-bulldog-mixed-breed-pictures-cover-650x368.jpg
Catahoula Leopard Dog,https://dogtime.com/dog-breeds/catahoula-leopard-dog,https://www.dogtime.com/assets/uploads/2011/01/file_23278_catahoula-leopard-dog-300x189.jpg
Caucasian Shepherd Dog,https://dogtime.com/dog-breeds/caucasian-shepherd-dog,https://www.dogtime.com/assets/uploads/2018/01/caucasian-shepherd-dog-breed-pictures-cover-650x369.jpg
Cav-a-Jack,https://dogtime.com/dog-breeds/cav-a-jack,https://www.dogtime.com/assets/uploads/2019/10/cav-a-jack-mixed-dog-breed-pictures-cover-650x368.jpg
Cavachon,https://dogtime.com/dog-breeds/cavachon,https://www.dogtime.com/assets/uploads/2019/08/cavachon-mixed-dog-breed-pictures-cover-650x368.jpg
Cavador,https://dogtime.com/dog-breeds/cavador,https://www.dogtime.com/assets/uploads/2019/08/cavador-mixed-dog-breed-pictures-cover-650x368.jpg
Cavalier King Charles Spaniel,https://dogtime.com/dog-breeds/cavalier-king-charles-spaniel,https://www.dogtime.com/assets/uploads/2011/01/file_23100_cavalier-king-charles-spaniel-300x189.jpg
Cavapoo,https://dogtime.com/dog-breeds/cavapoo,https://www.dogtime.com/assets/uploads/2019/08/cavapoo-mixed-dog-breed-pictures-cover-650x368.jpg
Central Asian Shepherd Dog,https://dogtime.com/dog-breeds/central-asian-shepherd-dog,https://www.dogtime.com/assets/uploads/2020/06/central-asian-shepherd-dog-breed-pictures-cover-650x368.jpg
Cesky Terrier,https://dogtime.com/dog-breeds/cesky-terrier,https://www.dogtime.com/assets/uploads/2011/01/file_23270_cesky-terrier-dog-breed-300x189.jpg
Chabrador,https://dogtime.com/dog-breeds/chabrador,https://www.dogtime.com/assets/uploads/2019/08/chabrador-mixed-dog-breed-pictures-cover-650x368.jpg
Cheagle,https://dogtime.com/dog-breeds/cheagle,https://www.dogtime.com/assets/uploads/2019/07/cheagle-mixed-dog-breed-pictures-cover-650x368.jpg
Chesapeake Bay Retriever,https://dogtime.com/dog-breeds/chesapeake-bay-retriever,https://www.dogtime.com/assets/uploads/2011/01/file_22958_chesapeake-bay-retriever-300x189.jpg
Chi Chi,https://dogtime.com/dog-breeds/chi-chi,https://www.dogtime.com/assets/uploads/2020/01/chi-chi-mixed-dog-breed-pictures-cover-650x368.jpg
Chi-Poo,https://dogtime.com/dog-breeds/chi-poo,https://www.dogtime.com/assets/uploads/2019/08/chi-poo-mixed-dog-breed-pictures-cover-650x368.jpg
Chigi,https://dogtime.com/dog-breeds/chigi,https://www.dogtime.com/assets/uploads/2020/01/chigi-mixed-dog-breed-pictures-cover-650x368.jpg
